Time,Text
2022-11-18 22:49:16+00:00,b'RT @AlphaDeGreat: Peter Obi will be the best President for Nigeria @renoomokri saying this with his full chest! https://t.co/u2BerWNV4H'
2022-11-18 22:49:11+00:00,"b'RT @JaypeeGeneral: Peter Obi, Na YOU we want as our President! PO remains the most accepted presidential candidate in this election. He is\xe2\x80\xa6'"
2022-11-18 22:49:10+00:00,"b'RT @legendkomedian: This is how 2023 election will end. \n\nLP - PETER OBI= 30,260,184.\nAPC - Jagaban=12,050,401\nPDP - Atiku = 5,094,528.\n\nNN\xe2\x80\xa6'"
2022-11-18 22:49:09+00:00,"b""RT @torty_mercy: Peter Obi attended CKC Onitsha.  Peter Odili attended CKC Onitsha...\nBatists saying they didn't meet in school yeyenyen.\xe2\x80\xa6"""
2022-11-18 22:49:09+00:00,"b""RT @urchilla01: Peter Obi should never stop saying that he didn't steal state funds as a governor. He should keep screaming it &amp; reminding\xe2\x80\xa6"""
2022-11-18 22:49:07+00:00,"b""RT @dokubohilda: Nigerians do not allow any confused being to confuse you with all what not. This is he. I can't wait for us to start the p\xe2\x80\xa6"""
2022-11-18 22:49:07+00:00,"b""RT @KcUzoka: Lawyers for Peter Obi @Lawyers4PetaObi is working with a team of Data Analysts and other Peter Obi's support groups to analyze\xe2\x80\xa6"""
2022-11-18 22:49:06+00:00,b'RT @4eyedmonk: A sizable number of the most vocal Peter Obi supporters are not going to vote. It is what it is.'
2022-11-18 22:49:04+00:00,"b'RT @mcmiti_: Keep saying it, keep retweeting it, keep sharing it, till they can\xe2\x80\x99t forget LP, Peter Obi, Papa, mama and Pikin. \n\n#WhatsApp #\xe2\x80\xa6'"
2022-11-18 22:49:04+00:00,"b""RT @AishaYesufu: When Peter Obi @PeterObi speaks I don't hold my breath. I know he is capable. Beyond his capacity is the fact that he is w\xe2\x80\xa6"""
2022-11-18 22:49:02+00:00,"b""RT @dokubohilda: Nigerians do not allow any confused being to confuse you with all what not. This is he. I can't wait for us to start the p\xe2\x80\xa6"""
2022-11-18 22:49:02+00:00,"b'RT @JaypeeGeneral: Peter Obi, Na YOU we want as our President! PO remains the most accepted presidential candidate in this election. He is\xe2\x80\xa6'"
2022-11-18 22:48:59+00:00,b'RT @NnamdiChife: Peter Obi will win the FCT.'
2022-11-18 22:48:57+00:00,b'RT @VictorIsrael_: Gov Seyi Makinde gave Peter Obi a 10000 capacity stadium to host the Obidatti rally in Ibadan Oyo state. Tinubu boys are\xe2\x80\xa6'
2022-11-18 22:48:54+00:00,"b""RT @urchilla01: Peter Obi should never stop saying that he didn't steal state funds as a governor. He should keep screaming it &amp; reminding\xe2\x80\xa6"""
2022-11-18 22:48:54+00:00,b'RT @JajaPhD: Peter Obi remains the most fact-checked candidate. He is aware that the media is on the hunt for gaffes from him. Why do you t\xe2\x80\xa6'
2022-11-18 22:48:54+00:00,"b'RT @MissPearls: BREAKING: The Incoming President of the Federal Rep of Nigeria, HE Peter Obi and his running mate, Dr Datti Baba-Ahmed will\xe2\x80\xa6'"
2022-11-18 22:48:53+00:00,"b'RT @VictorIsrael_: Port Harcourt Rivers state, I came to say thank you for receiving Peter Obi in grand style. What is this? \xf0\x9f\x98\xae\xf0\x9f\x98\xae\xf0\x9f\x98\xae\xf0\x9f\x98\xae See crowd\xe2\x80\xa6'"
2022-11-18 22:48:53+00:00,"b'RT @JaypeeGeneral: Listen to Olisa Uzowulu \xe2\x80\x94Chairman, South East and Middle Belt Forum \xe2\x80\x94as he discusses Nigeria\xe2\x80\x99s leadership problem. He re\xe2\x80\xa6'"
2022-11-18 22:48:52+00:00,b'RT @BOMBOY0001: Dear mr. Hassan followers your hardworking obedient is seriously sick. Your prayer is needed mr. Hassan have done alot 4 Pe\xe2\x80\xa6'
2022-11-18 22:48:51+00:00,"b""RT @dokubohilda: Nigerians do not allow any confused being to confuse you with all what not. This is he. I can't wait for us to start the p\xe2\x80\xa6"""
2022-11-18 22:48:51+00:00,"b""RT @Hassanlabo: I am ready to serve in any capacity if called upon by Peter Obi because for me it'spaybackk time, we have a duty to take ba\xe2\x80\xa6"""
2022-11-18 22:48:50+00:00,"b""RT @AishaYesufu: When Peter Obi @PeterObi speaks I don't hold my breath. I know he is capable. Beyond his capacity is the fact that he is w\xe2\x80\xa6"""
2022-11-18 22:48:47+00:00,"b'RT @VictorIsrael_: Bringing this video back for those who didn\xe2\x80\x99t see it. Governor Wike sent stray bullets to Tinubu, Buhari and APC at the\xe2\x80\xa6'"
2022-11-18 22:48:43+00:00,"b'RT @engr_shaibu_: Once Mr. Peter Obi emerges President, we would return to normal life and forget about twitter. It is now or never. We mus\xe2\x80\xa6'"
2022-11-18 22:48:43+00:00,"b'RT @Hassanlabo: Peter Obi has got the Competence,  Capacity, Capability, Character and Integrity to provide that right leadership and sense\xe2\x80\xa6'"
2022-11-18 22:48:39+00:00,"b'RT @Nnaba_Frank: Charles Soludo this is Nando to Achala/Awkuzu Junction also linking Igbariam, constructed by Peter Obi @PeterObi almost 10\xe2\x80\xa6'"
2022-11-18 22:48:36+00:00,b'RT @jollynony: Another reason to choose Obi.\n\nIf Peter Obi performs so badly (which is literally impossible) and we chose to kick him out o\xe2\x80\xa6'
2022-11-18 22:48:34+00:00,"b""RT @Spotlight_Abby: History has a way of repeating itself, even to the colour of clothes and shoes! \xe2\x98\xba\xf0\x9f\x98\x8b\xe2\x98\xba\xf0\x9f\x98\x8b\n\nPDP's nemesis: Peter Obi x Wike h\xe2\x80\xa6"""
2022-11-18 22:48:33+00:00,"b""RT @AtojuKehinde: Peter Obi is going to win don't panic. We are the Nigerians that will decide."""
