Time,Text
2022-11-18 23:26:50+00:00,"b'RT @cousinray_: BREAKING NEWS!! \nMFN Coalition CONDEMNs ATIKU ABUBAKAR, revealing what they identified as a dangerous pattern of  deceit da\xe2\x80\xa6'"
2022-11-18 23:25:14+00:00,b'RT @fisayosoyombo: FLASHBACK: The Dollar Link Between Jailed US Congressman Jefferson and Atiku Abubakar https://t.co/oF3xD0tqwW'
2022-11-18 23:24:52+00:00,b'RT @Capt_Aliyu: Buhari will go down as the worse president in the history of Nigeria..... Not even GEJ is this clueless. How can a country\xe2\x80\xa6'
2022-11-18 23:23:55+00:00,b'RT @Abdullahiabba_: His Excellency Alhaji Atiku Abubakar 7 points Agenda when elected as the president of Nigeria https://t.co/a7G4r0Yyif'
2022-11-18 23:23:42+00:00,"b'RT @EverestOnyek: Atiku Abubakar would have been preferable, but how can I choose a turkey when I have an eagle!.\n\nPeter Gregory Obi (GCFR)\xe2\x80\xa6'"
2022-11-18 23:23:40+00:00,b'RT @Capt_Aliyu: Buhari will go down as the worse president in the history of Nigeria..... Not even GEJ is this clueless. How can a country\xe2\x80\xa6'
2022-11-18 23:23:24+00:00,b'RT @Capt_Aliyu: Buhari will go down as the worse president in the history of Nigeria..... Not even GEJ is this clueless. How can a country\xe2\x80\xa6'
2022-11-18 23:20:46+00:00,"b'RT @IAOkowa: Last night, alongside our Presidential Candidate, Alhaji @Atiku Abubakar, we had a great meeting with our former President, H.\xe2\x80\xa6'"
2022-11-18 23:18:37+00:00,b'RT @NasirZugachi: The people of Kano state we are ready to elect Alhaji. @atiku Abubakar as the president of Nigeria in 2023 @OfficialPDPNi\xe2\x80\xa6'
2022-11-18 23:18:11+00:00,b'RT @MuchTalksBlog1: Wike advises @peterobi to continue to be a humble man he is.\n\xe2\x80\xa2\n\xe2\x80\xa2\nPort Harcourt.\n #doggy \xe2\x80\xa2 Pastor \xe2\x80\xa2 Davido \xe2\x80\xa2 Peter Obi \xe2\x80\xa2\xe2\x80\xa6'
2022-11-18 23:15:26+00:00,b'RT @Waspapping_: The reports that there are 2.7 million unqualified registered voters in Kano is fake and an attempt to stop the inevitable\xe2\x80\xa6'
2022-11-18 23:14:49+00:00,"b'RT @IAOkowa: Last night, alongside our Presidential Candidate, Alhaji @Atiku Abubakar, we had a great meeting with our former President, H.\xe2\x80\xa6'"
2022-11-18 23:14:23+00:00,"b'RT @emmaikumeh: Let me repeat it again, former president Goodluck Jonathan, hasn\xe2\x80\x99t changed his stance from 2019 when he supported the incom\xe2\x80\xa6'"
2022-11-18 23:13:58+00:00,"b""RT @mondayomoaigbe: JUST IN\xf0\x9f\x9f\xaa\xf0\x9f\x9f\xa5\xf0\x9f\x94\xb7\nWE' RE NOT FOOLS, WHY DIDN'T YOU CHALLENGE FAKE BUHARI ALL THIS YEARS?  GOVERNOR WIKE TACKLES PRESIDENTIAL C\xe2\x80\xa6"""
2022-11-18 23:13:53+00:00,b'RT @Angela201045315: Atiku Abubakar is truly a Unifier!\nThis is a fact!'
2022-11-18 23:13:00+00:00,"b'RT @IAOkowa: Last night, alongside our Presidential Candidate, Alhaji @Atiku Abubakar, we had a great meeting with our former President, H.\xe2\x80\xa6'"
2022-11-18 23:12:55+00:00,"b'@VictorIsrael_ Only an infant in politics believe obidiot will win the general election in Nigeria of today,  but y\xe2\x80\xa6 https://t.co/giQOd4nozw'"
