Time,Text
2022-11-18 23:34:10+00:00,"b'RT @Hope_Uzodimma1: Ahead of the 2023 General Election, yesterday, I was joined by my brother, Governor David Nwaeze Umahi of Ebonyi State\xe2\x80\xa6'"
2022-11-18 23:33:52+00:00,"b'RT @DavidHundeyin: 1: The gender of the ""Bola A. Tinubu"" who was admitted into @ChicagoState\n\n2: The D.O.B. of the same ""Bola A. Tinubu""\n\n3\xe2\x80\xa6'"
2022-11-18 23:33:51+00:00,"b'RT @RealOlaudah: Imo State APC members refused to give audience to Alhaji Kashim Shettima, a known Igbo hater, after condoning the uncoordi\xe2\x80\xa6'"
2022-11-18 23:33:40+00:00,"b""RT @DavidHundeyin: For those who still haven't read it, this is the story that contains all the receipts showing that APC presidential cand\xe2\x80\xa6"""
2022-11-18 23:33:22+00:00,"b'RT @DavidHundeyin: 1: The gender of the ""Bola A. Tinubu"" who was admitted into @ChicagoState\n\n2: The D.O.B. of the same ""Bola A. Tinubu""\n\n3\xe2\x80\xa6'"
2022-11-18 23:33:19+00:00,"b'RT @DavidHundeyin: 1: The gender of the ""Bola A. Tinubu"" who was admitted into @ChicagoState\n\n2: The D.O.B. of the same ""Bola A. Tinubu""\n\n3\xe2\x80\xa6'"
2022-11-18 23:33:10+00:00,"b""RT @DavidHundeyin: For those who still haven't read it, this is the story that contains all the receipts showing that APC presidential cand\xe2\x80\xa6"""
2022-11-18 23:32:16+00:00,"b'Everyone please take a moment, imagine and picture this...\nBola Ahmed Tinubu sitting in a world general assembly or\xe2\x80\xa6 https://t.co/mMRTmY0RGV'"
2022-11-18 23:31:50+00:00,"b""RT @Nkemchor_: This is what you people want us to be listening to for the next 8 years. Gibberish and nonsense!!! By God's Grace every plan\xe2\x80\xa6"""
2022-11-18 23:31:43+00:00,b'RT @legendkomedian: Bola Ahmed Tinubu followers are the foes of this country..\nThey are fanatical in their approach and radically subjectiv\xe2\x80\xa6'
2022-11-18 23:31:23+00:00,"b""RT @DavidHundeyin: For those who still haven't read it, this is the story that contains all the receipts showing that APC presidential cand\xe2\x80\xa6"""
2022-11-18 23:31:22+00:00,"b'RT @DavidHundeyin: 1: The gender of the ""Bola A. Tinubu"" who was admitted into @ChicagoState\n\n2: The D.O.B. of the same ""Bola A. Tinubu""\n\n3\xe2\x80\xa6'"
